Drug	Drug Class or Action	Phenotype	Dosage Information	Category	Interpretation	Notes	References
Clopidogrel	Antiplatelet	CYP2C19 Normal metabolizer	Standard dosage of clopidogrel	STANDARD			
Clopidogrel	Antiplatelet	CYP2C19 Rapid metabolizer	Standard dosage of clopidogrel	STANDARD			
Clopidogrel	Antiplatelet	CYP2C19 Intermediate metabolizer	Use alternative drug	ATYPICAL	"This result indicates that the patient carries one copy of a normal function allele and one copy of a no function allele of CYP2C19, or one increased function allele and one no function allele of CYP2C19, predicting intermediate metabolizer status for CYP2C19 substrates. Patients with this genotype are at increased risk of adverse cardiovascular events in response to clopidogrel. Use of an alternative antiplatelet drug is recommended."	"The cytochrome P450-2C19 (CYP2C19) enzyme contributes to the metabolism of many drugs, including clopidogrel. CYP2C19 is highly polymorphic, and alleles have been identified that have normal, increased, or decreased function. Among clopidogrel treated patients with acute coronary syndromes (ACSs) undergoing percutaneous coronary intervention (PCI), CYP2C19 intermediate or poor metabolizers may be at increased risk of serious adverse cardiovascular events. (Scott 2013 PMID: 23698643) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Scott 2013 PMID: 23698643
Clopidogrel	Antiplatelet	CYP2C19 Ultrarapid metabolizer	Standard dosage of clopidogrel	STANDARD			
Clopidogrel	Antiplatelet	CYP2C19 Poor metabolizer	Use alternative drug	ATYPICAL	"This result indicates that the patient carries two no function alleles of CYP2C19, predicting poor metabolizer status for CYP2C19 substrates. Patients with this genotype are at high risk of adverse cardiovascular events in response to clopidogrel. Use of an alternative antiplatelet drug is recommended."	"The cytochrome P450-2C19 (CYP2C19) enzyme contributes to the metabolism of many drugs, including clopidogrel. CYP2C19 is highly polymorphic, and alleles have been identified that have normal, increased, or decreased function. Among clopidogrel treated patients with acute coronary syndromes (ACSs) undergoing percutaneous coronary intervention (PCI), CYP2C19 intermediate or poor metabolizers may be at increased risk of serious adverse cardiovascular events. (Scott 2013 PMID: 23698643) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Scott 2013 PMID: 23698643
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Normal metabolizer	Standard dosage of sertraline	STANDARD			
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Rapid metabolizer	Standard dosage of sertraline or use alternative drug if not effective	ATYPICAL	"This result indicates that the patient carries one copy of an increased function allele and one copy of a normal function allele of CYP2C19, predicting rapid metabolizer status for CYP2C19 substrates. Lower plasma concentrations will increase probability of treatment failure with sertraline. Initiate therapy with standard dosage, but if patient not responsive, consider an alternative drug not predominantly metabolized by CYP2C19."	"Citalopram, escitalopram, and sertraline are extensively metabolized by CYP2C19. Variation in CYP2C19 activity may alter treatment efficacy and risk of side effects, for example increased risk of QT prolongation in CYP2C19 poor metabolizers. (Hicks 2015 PMID: 25974703) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Hicks 2015 PMID: 25974703
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Intermediate metabolizer	Standard dosage of sertraline	STANDARD			
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Ultrarapid metabolizer	Standard dosage of sertraline or use alternative drug if not effective	ATYPICAL	"This result indicates that the patient carries two copies of an increased function allele of CYP2C19, predicting ultrarapid metabolizer status for CYP2C19 substrates.  Lower plasma concentrations will increase probability of treatment failure with sertraline. Initiate therapy with standard dosage, but if patient not responsive, consider an alternative drug not predominantly metabolized by CYP2C19."	"Citalopram, escitalopram, and sertraline are extensively metabolized by CYP2C19. Variation in CYP2C19 activity may alter treatment efficacy and risk of side effects, for example increased risk of QT prolongation in CYP2C19 poor metabolizers. (Hicks 2015 PMID: 25974703) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Hicks 2015 PMID: 25974703
Sertraline	Selective serotonin reuptake inhibitor (SSRI)	CYP2C19 Poor metabolizer	Decrease dosage of sertraline or use alternative drug	ATYPICAL	"This result indicates that the patient carries two no function alleles of CYP2C19, predicting poor metabolizer status for CYP2C19 substrates. Higher plasma concentrations may increase the probability of side effects from sertraline. Use a decreased dosage of sertraline or  consider an alternative  drug not predominantly metabolized by CYP2C19."	"Citalopram, escitalopram, and sertraline are extensively metabolized by CYP2C19. Variation in CYP2C19 activity may alter treatment efficacy and risk of side effects, for example increased risk of QT prolongation in CYP2C19 poor metabolizers. (Hicks 2015 PMID: 25974703) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Hicks 2015 PMID: 25974703
Voriconazole	Antifungal	CYP2C19 Normal metabolizer	Standard dosage of voriconazole	STANDARD			Moriyama 2017 PMID: 27981572
Voriconazole	Antifungal	CYP2C19 Rapid metabolizer	Use alternative drug	ATYPICAL	"This result indicates that the patient carries one copy of an increased function allele and one copy of a normal function allele of CYP2C19, predicting rapid metabolizer status for CYP2C19 substrates. Lower plasma concentrations may increase probability of treatment failure with voriconazole. Use of an alternative antifungal agent that is not dependent on CYP2C19 metabolism is recommended."	"Variation in CYP2C19 activity may alter treatment efficacy of voriconazole and the risk of adverse events, for example hepatotoxicity, visual disturbances, and neurologic disorders. CYP2C19 poor metabolizers may be at increased risk of adverse events, while rapid and ultrarapid metabolizers may be at increased risk of treatment failure (Moriyama 2017 PMID: 27981572). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161537."	Moriyama 2017 PMID: 27981572
Voriconazole	Antifungal	CYP2C19 Intermediate metabolizer	Standard dosage of voriconazole	STANDARD			Moriyama 2017 PMID: 27981572
Voriconazole	Antifungal	CYP2C19 Ultrarapid metabolizer	Use alternative drug	ATYPICAL	"This result indicates that the patient carries two copies of an increased function allele of CYP2C19, predicting ultrarapid metabolizer status for CYP2C19 substrates.  Lower plasma concentrations may increase probability of treatment failure with voriconazole. Use of an alternative antifungal agent that is not dependent on CYP2C19 metabolism is recommended."	"Variation in CYP2C19 activity may alter treatment efficacy of voriconazole and the risk of adverse events, for example hepatotoxicity, visual disturbances, and neurologic disorders. CYP2C19 poor metabolizers may be at increased risk of adverse events, while rapid and ultrarapid metabolizers may be at increased risk of treatment failure (Moriyama 2017 PMID: 27981572). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161537."	Moriyama 2017 PMID: 27981572
Voriconazole	Antifungal	CYP2C19 Poor metabolizer	Use alternative drug	ATYPICAL	"This result indicates that the patient carries two no function alleles of CYP2C19, predicting poor metabolizer status for CYP2C19 substrates. Higher plasma concentrations may increase the probability of side effects from voriconazole. Use an alternative antifungal agent not predominantly metabolized by CYP2C19, or if voriconazole is the clinically most appropriate agent, use a decreased dosage with careful therapeutic drug monitoring."	"Variation in CYP2C19 activity may alter treatment efficacy of voriconazole and the risk of adverse events, for example hepatotoxicity, visual disturbances, and neurologic disorders. CYP2C19 poor metabolizers may be at increased risk of adverse events, while rapid and ultrarapid metabolizers may be at increased risk of treatment failure (Moriyama 2017 PMID: 27981572). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161537."	Moriyama 2017 PMID: 27981572
Omeprazole/ Lansoprazole/ Pantoprazole/ Dexlansoprazole	Proton pump inhibitors (PPIs)	CYP2C19 Normal metabolizer	Standard dosage or increase dosage of PPIs	ATYPICAL	"This result indicates that the patient carries two copies of a normal function allele of CYP2C19, predicting normal metabolizer status for CYP2C19 substrates. Normal metabolizers may have increased risk of treatment failure compared to CYP2C19 intermediate or poor metabolizers. Initiate therapy with the standard dosage, and consider increasing the dosage for treatment of H. pylori infection and erosive esophagitis."	"The proton pump inhibitors omeprazole, lansoprazole, pantoprazole and dexlansoprazole inhibit gastric acid secretion, and treat conditions such as gastroesophageal reflux disease, gastric and duodenal ulcers, erosive esophagitis, eosinophilic esophagitis, and H. pylori infection. CYP2C19 intermediate and poor metabolizers may have an increased probability of treatment efficacy, but also an increased risk of adverse events, which may include electrolyte imbalances, infections, kidney disease, and bone fracture. Normal, rapid and ultrarapid metabolizers may be at increased risk of treatment failure. (Lima 2020 PMID: 32770672) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Lima 2020 PMID: 32770672
Omeprazole/ Lansoprazole/ Pantoprazole/ Dexlansoprazole	Proton pump inhibitors (PPIs)	CYP2C19 Rapid metabolizer	Standard dosage or increase dosage of PPIs	ATYPICAL	"This result indicates that the patient carries one copy of an increased function allele and one copy of a normal function allele of CYP2C19, predicting rapid metabolizer status for CYP2C19 substrates. Lower plasma concentrations may increase probability of treatment failure with omeprazole, lansoprazole, pantoprazole and dexlansoprazole. Initiate therapy with the standard dosage, and consider increasing the dosage for treatment of H. pylori infection and erosive esophagitis."	"The proton pump inhibitors omeprazole, lansoprazole, pantoprazole and dexlansoprazole inhibit gastric acid secretion, and treat conditions such as gastroesophageal reflux disease, gastric and duodenal ulcers, erosive esophagitis, eosinophilic esophagitis, and H. pylori infection. CYP2C19 intermediate and poor metabolizers may have an increased probability of treatment efficacy, but also an increased risk of adverse events, which may include electrolyte imbalances, infections, kidney disease, and bone fracture. Normal, rapid and ultrarapid metabolizers may be at increased risk of treatment failure. (Lima 2020 PMID: 32770672) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Lima 2020 PMID: 32770672
Omeprazole/ Lansoprazole/ Pantoprazole/ Dexlansoprazole	Proton pump inhibitors (PPIs)	CYP2C19 Intermediate metabolizer	Standard dosage or decrease dosage of PPIs	ATYPICAL	"This result indicates that the patient carries one copy of a normal function allele and one copy of a no function allele of CYP2C19, or one increased function allele and one no function allele of CYP2C19, predicting intermediate metabolizer status for CYP2C19 substrates. Higher plasma concentrations may increase the probability of treatment efficacy, and also increase the risk of adverse events, particularly with chronic use of omeprazole, lansoprazole, pantoprazole or dexlansoprazole. Initiate therapy with the standard dosage, and consider decreasing the dosage once efficacy is achieved."	"The proton pump inhibitors omeprazole, lansoprazole, pantoprazole and dexlansoprazole inhibit gastric acid secretion, and treat conditions such as gastroesophageal reflux disease, gastric and duodenal ulcers, erosive esophagitis, eosinophilic esophagitis, and H. pylori infection. CYP2C19 intermediate and poor metabolizers may have an increased probability of treatment efficacy, but also an increased risk of adverse events, which may include electrolyte imbalances, infections, kidney disease, and bone fracture. Normal, rapid and ultrarapid metabolizers may be at increased risk of treatment failure. (Lima 2020 PMID: 32770672) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Lima 2020 PMID: 32770672
Omeprazole/ Lansoprazole/ Pantoprazole/ Dexlansoprazole	Proton pump inhibitors (PPIs)	CYP2C19 Ultrarapid metabolizer	Increase dosage of PPIs	ATYPICAL	"This result indicates that the patient carries two copies of an increased function allele of CYP2C19, predicting ultrarapid metabolizer status for CYP2C19 substrates.  Lower plasma concentrations may increase probability of treatment failure with omeprazole, lansoprazole, pantoprazole or dexlansoprazole. Use of an increased dosage of omeprazole, lansoprazole, pantoprazole or dexlansoprazole is recommended."	"The proton pump inhibitors omeprazole, lansoprazole, pantoprazole and dexlansoprazole inhibit gastric acid secretion, and treat conditions such as gastroesophageal reflux disease, gastric and duodenal ulcers, erosive esophagitis, eosinophilic esophagitis, and H. pylori infection. CYP2C19 intermediate and poor metabolizers may have an increased probability of treatment efficacy, but also an increased risk of adverse events, which may include electrolyte imbalances, infections, kidney disease, and bone fracture. Normal, rapid and ultrarapid metabolizers may be at increased risk of treatment failure. (Lima 2020 PMID: 32770672) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Lima 2020 PMID: 32770672
Omeprazole/ Lansoprazole/ Pantoprazole/ Dexlansoprazole	Proton pump inhibitors (PPIs)	CYP2C19 Poor metabolizer	Standard dosage or decrease dosage of PPIs	ATYPICAL	"This result indicates that the patient carries two no function alleles of CYP2C19, predicting poor metabolizer status for CYP2C19 substrates. Higher plasma concentrations may increase the probability of treatment efficacy, and also increase the risk of adverse events, particularly with chronic use of omeprazole, lansoprazole, pantoprazole or dexlansoprazole. Initiate therapy with the standard dosage, and consider decreasing the dosage once efficacy is achieved."	"The proton pump inhibitors omeprazole, lansoprazole, pantoprazole and dexlansoprazole inhibit gastric acid secretion, and treat conditions such as gastroesophageal reflux disease, gastric and duodenal ulcers, erosive esophagitis, eosinophilic esophagitis, and H. pylori infection. CYP2C19 intermediate and poor metabolizers may have an increased probability of treatment efficacy, but also an increased risk of adverse events, which may include electrolyte imbalances, infections, kidney disease, and bone fracture. Normal, rapid and ultrarapid metabolizers may be at increased risk of treatment failure. (Lima 2020 PMID: 32770672) Additional information can be found at https://www.pharmgkb.org/gene/PA124/guidelineAnnotation."	Lima 2020 PMID: 32770672
