Drug	Drug Class or Action	Phenotype	Dosage Information	Category	Interpretation	Notes	References
Atomoxetine	Selective norepinephrine reuptake inhibitor	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	Increase dosage of atomoxetine	ATYPICAL	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Patients with this genotype may not respond to treatment with atomoxetine at standard dosing. Consider increasing the dosage of atomoxetine, based on plasma drug concentration testing, following the specific recommendations found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of side effects from atomoxetine, a non-stimulant drug used to treat attention-deficit hyperactivity disorder (ADHD). CYP2D6 ultrarapid, normal, and intermediate metabolizers may be at increased risk of non-response, and intermediate and poor metabolizers may be at increased risk of side effects, while poor metabolizers may have greater improvement of ADHD symptoms compared to non-poor metabolizers (Brown_2019). The CPIC Dosing Guideline for atomoxetine includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if there is no clinical response and in the absence of adverse events after 2 weeks of therapy. Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	Brown_2019
Atomoxetine	Selective norepinephrine reuptake inhibitor	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Increase dosage of atomoxetine	ATYPICAL	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Patients with this genotype may not respond to treatment with atomoxetine at standard dosing. Consider increasing the dosage of atomoxetine, based on plasma drug concentration testing, following the specific recommendations found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of side effects from atomoxetine, a non-stimulant drug used to treat attention-deficit hyperactivity disorder (ADHD). CYP2D6 ultrarapid, normal, and intermediate metabolizers may be at increased risk of non-response, and intermediate and poor metabolizers may be at increased risk of side effects, while poor metabolizers may have greater improvement of ADHD symptoms compared to non-poor metabolizers (Brown_2019). The CPIC Dosing Guideline for atomoxetine includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if there is no clinical response and in the absence of adverse events after 2 weeks of therapy. Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	Brown_2019
Atomoxetine	Selective norepinephrine reuptake inhibitor	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	Adjust dosage of atomoxetine based on plasma drug concentration	ATYPICAL	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Patients with this genotype may require increased or decreased dosing of atomoxetine, based on plasma drug concentration testing. Please note if 1 or more *10 alleles is present in the patient's genotype, and refer to the specific plasma drug concentration testing and dosing recommendations found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of side effects from atomoxetine, a non-stimulant drug used to treat attention-deficit hyperactivity disorder (ADHD). CYP2D6 ultrarapid, normal, and intermediate metabolizers may be at increased risk of non-response, and intermediate and poor metabolizers may be at increased risk of side effects, while poor metabolizers may have greater improvement of ADHD symptoms compared to non-poor metabolizers (Brown_2019). The CPIC Dosing Guideline for atomoxetine includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if there is no clinical response and in the absence of adverse events after 2 weeks of therapy. Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	Brown_2019
Atomoxetine	Selective norepinephrine reuptake inhibitor	CYP2D6 Poor Metabolizer  - Activity score 0	Adjust dosage of atomoxetine based on plasma drug concentration	ATYPICAL	"This result indicates that the patient carries only no function alleles of CYP2D6, predicting poor metabolizer status for CYP2D6 substrates. Patients with this genotype may be at increased risk of side effects in response to atomoxetine at standard dosing. Consider adjusting the dosage of atomoxetine, based on plasma drug concentration testing, following the specific recommendations found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	"Variation in CYP2D6 activity may alter the treatment efficacy of and risk of side effects from atomoxetine, a non-stimulant drug used to treat attention-deficit hyperactivity disorder (ADHD). CYP2D6 ultrarapid, normal, and intermediate metabolizers may be at increased risk of non-response, and intermediate and poor metabolizers may be at increased risk of side effects, while poor metabolizers may have greater improvement of ADHD symptoms compared to non-poor metabolizers (Brown_2019). The CPIC Dosing Guideline for atomoxetine includes guidance for plasma drug concentration testing, as a means to estimate atomoxetine exposure, if there is no clinical response and in the absence of adverse events after 2 weeks of therapy. Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166181885."	Brown_2019
Atomoxetine	Selective norepinephrine reuptake inhibitor	CYP2D6 Indeterminate	No recommendation for atomoxetine	NA	"This result indicates that the patient carries at least one uncertain and/or unknown function allele of CYP2D6, and the predicted phenotype for this patient cannot be determined currently for CYP2D6 substrates."		Brown_2019
Tamoxifen	Antineoplastic	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	Standard dosage of tamoxifen	STANDARD	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Use label recommended dosage."	"Tamoxifen, used for the prevention and treatment of pre- and postmenopausal breast cancer, is partly metabolized by CYP2D6 to the active metabolite endoxifen. CYP2D6 genetic variation is associated with variability in endoxifen plasma concentrations. CYP2D6 poor and intermediate metabolizers typically have lower plasma endoxifen concentrations compared to CYP2D6 normal or ultrarapid metabolizers (Goetz_2018). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166176068."	Goetz_2018
Tamoxifen	Antineoplastic	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Standard dosage of tamoxifen	STANDARD	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Use label recommended dosage."	"Tamoxifen, used for the prevention and treatment of pre- and postmenopausal breast cancer, is partly metabolized by CYP2D6 to the active metabolite endoxifen. CYP2D6 genetic variation is associated with variability in endoxifen plasma concentrations. CYP2D6 poor and intermediate metabolizers typically have lower plasma endoxifen concentrations compared to CYP2D6 normal or ultrarapid metabolizers (Goetz_2018). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166176068."	Goetz_2018
Tamoxifen	Antineoplastic	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	Use alternative drug	ATYPICAL	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Patients with this genotype may have lower endoxifen concentrations compared to normal metabolizers. Consider an aromatase inhibitor for postmenopausal women or an aromatase inhibitor along with ovarian function suppression in premenopausal women. If aromatase inhibitor use is contraindicated, consider an increased dosage of tamoxifen and avoid use of CYP2D6 strong to weak inhibitors."	"Tamoxifen, used for the prevention and treatment of pre- and postmenopausal breast cancer, is partly metabolized by CYP2D6 to the active metabolite endoxifen. CYP2D6 genetic variation is associated with variability in endoxifen plasma concentrations. CYP2D6 poor and intermediate metabolizers typically have lower plasma endoxifen concentrations compared to CYP2D6 normal or ultrarapid metabolizers (Goetz_2018). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166176068."	Goetz_2018
Tamoxifen	Antineoplastic	CYP2D6 Poor Metabolizer  - Activity score 0	Use alternative drug	ATYPICAL	"This result indicates that the patient carries only no function alleles of CYP2D6, predicting poor metabolizer status for CYP2D6 substrates. Patients with this genotype may  have lower endoxifen concentrations compared to normal metabolizers. It is recommended to use an alternative drug, an aromatase inhibitor for postmenopausal women or an aromatase inhibitor along with ovarian function suppression in premenopausal women. If aromatase inhibitor use is contraindicated, consider an increased dosage of tamoxifen and avoid use of CYP2D6 strong to weak inhibitors."	"Tamoxifen, used for the prevention and treatment of pre- and postmenopausal breast cancer, is partly metabolized by CYP2D6 to the active metabolite endoxifen. CYP2D6 genetic variation is associated with variability in endoxifen plasma concentrations. CYP2D6 poor and intermediate metabolizers typically have lower plasma endoxifen concentrations compared to CYP2D6 normal or ultrarapid metabolizers (Goetz_2018). Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166176068."	Goetz_2018
Tamoxifen	Antineoplastic	CYP2D6 Indeterminate	No recommendation for tamoxifen	NA	"This result indicates that the patient carries at least one uncertain and/or unknown function allele of CYP2D6, and the predicted phenotype for this patient cannot be determined currently for CYP2D6 substrates."		Goetz_2018
Ondansetron/ Tropisetron	"Antiemetics, 5-HT3 receptor antagonists"	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	Use alternative drug	ATYPICAL	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Patients with this genotype may have a decreased response to ondansetron and tropisetron, compared to normal metabolizers. Select an alternative drug that is not metabolized by CYP2D6."	Ondansetron and tropisetron are metabolized by CYP2D6 to inactive metabolites. CYP2D6 genetic variation is associated with variability in treatment efficacy. Ultrarapid metabolizers may experience less antiemetic effect compared to normal metabolizers. (Bell_2017) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161954 and https://www.pharmgkb.org/guidelineAnnotation/PA166161955.	Bell_2017
Ondansetron/ Tropisetron	"Antiemetics, 5-HT3 receptor antagonists"	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Standard dosage of ondansetron or tropisetron	STANDARD	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Use label recommended dosage."	Ondansetron and tropisetron are metabolized by CYP2D6 to inactive metabolites. CYP2D6 genetic variation is associated with variability in treatment efficacy. Ultrarapid metabolizers may experience less antiemetic effect compared to normal metabolizers. (Bell_2017) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161954 and https://www.pharmgkb.org/guidelineAnnotation/PA166161955.	Bell_2017
Ondansetron/ Tropisetron	"Antiemetics, 5-HT3 receptor antagonists"	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	No recommendation for ondansetron or tropisetron	STANDARD	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Use label recommended dosage, as there is not currently sufficient evidence to recommend alternative dosing of ondansetron or tropisetron."	Ondansetron and tropisetron are metabolized by CYP2D6 to inactive metabolites. CYP2D6 genetic variation is associated with variability in treatment efficacy. Ultrarapid metabolizers may experience less antiemetic effect compared to normal metabolizers. (Bell_2017) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161954 and https://www.pharmgkb.org/guidelineAnnotation/PA166161955.	Bell_2017
Ondansetron/ Tropisetron	"Antiemetics, 5-HT3 receptor antagonists"	CYP2D6 Poor Metabolizer  - Activity score 0	No recommendation for ondansetron or tropisetron	STANDARD	"This result indicates that the patient carries only no function alleles of CYP2D6, predicting poor metabolizer status for CYP2D6 substrates. Use label recommended dosage, as there is not currently sufficient evidence to recommend alternative dosing of ondansetron or tropisetron."	Ondansetron and tropisetron are metabolized by CYP2D6 to inactive metabolites. CYP2D6 genetic variation is associated with variability in treatment efficacy. Ultrarapid metabolizers may experience less antiemetic effect compared to normal metabolizers. (Bell_2017) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166161954 and https://www.pharmgkb.org/guidelineAnnotation/PA166161955.	Bell_2017
Ondansetron/ Tropisetron	"Antiemetics, 5-HT3 receptor antagonists"	CYP2D6 Indeterminate	No recommendation for ondansetron or tropisetron	NA	"This result indicates that the patient carries at least one uncertain and/or unknown function allele of CYP2D6, and the predicted phenotype for this patient cannot be determined currently for CYP2D6 substrates."		Bell_2017
Paroxetine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	Use alternative drug	ATYPICAL	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Patients with this genotype may have a decreased response to paroxetine, compared to normal metabolizers. Select an alternative drug that is not metabolized by CYP2D6."	"Paroxetine is metabolized by CYP2D6 to less active metabolites.  CYP2D6 ultrarapid metabolizers may have low to undetectable paroxetine plasma concentrations as compared to CYP2D6 normal metabolizers, increasing the risk of treatment failure, while CYP2D6 poor metabolizers may have higher paroxetine exposure and be at increased risk of side effects from paroxetine. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127636."	Hicks_2015
Paroxetine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Standard dosage of paroxetine	STANDARD	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Use label recommended dosage."	"Paroxetine is metabolized by CYP2D6 to less active metabolites.  CYP2D6 ultrarapid metabolizers may have low to undetectable paroxetine plasma concentrations as compared to CYP2D6 normal metabolizers, increasing the risk of treatment failure, while CYP2D6 poor metabolizers may have higher paroxetine exposure and be at increased risk of side effects from paroxetine. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127636."	Hicks_2015
Paroxetine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	Standard dosage of paroxetine	STANDARD	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Use label recommended dosage."	"Paroxetine is metabolized by CYP2D6 to less active metabolites.  CYP2D6 ultrarapid metabolizers may have low to undetectable paroxetine plasma concentrations as compared to CYP2D6 normal metabolizers, increasing the risk of treatment failure, while CYP2D6 poor metabolizers may have higher paroxetine exposure and be at increased risk of side effects from paroxetine. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127636."	Hicks_2015
Paroxetine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Poor Metabolizer  - Activity score 0	Use alternative drug	ATYPICAL	"This result indicates that the patient carries only no function alleles of CYP2D6, predicting poor metabolizer status for CYP2D6 substrates. Patients with this genotype may be at increased risk of side effects from paroxetine. Consider an alternative drug that is not metabolized by CYP2D6, or if paroxetine is warranted, decrease the dosage."	"Paroxetine is metabolized by CYP2D6 to less active metabolites.  CYP2D6 ultrarapid metabolizers may have low to undetectable paroxetine plasma concentrations as compared to CYP2D6 normal metabolizers, increasing the risk of treatment failure, while CYP2D6 poor metabolizers may have higher paroxetine exposure and be at increased risk of side effects from paroxetine. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127636."	Hicks_2015
Paroxetine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Indeterminate	No recommendation for paroxetine	NA	"This result indicates that the patient carries at least one uncertain and/or unknown function allele of CYP2D6, and the predicted phenotype for this patient cannot be determined currently for CYP2D6 substrates."		Hicks_2015
Fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Ultrarapid Metabolizer - Activity score >2.25	No recommendation for fluvoxamine	STANDARD	"This result indicates that the patient carries more than two copies of functional alleles of CYP2D6, predicting ultrarapid metabolizer status for CYP2D6 substrates. Use label recommended dosage, as there is not currently sufficient evidence to recommend alternative dosing of fluvoxamine."	Fluvoxamine is metabolized by CYP2D6 to less active metabolites. CYP2D6 poor metabolizers may have higher fluvoxamine exposure and be at increased risk of side effects. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127637.	Hicks_2015
Fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Normal Metabolizer  - Activity score 1.25 to 2.25	Standard dosage of fluvoxamine	STANDARD	"This result indicates that the patient carries two normal function alleles or one normal function and one decreased function allele or an increased function allele with an activity value of 2 and a decreased function allele with an activity value of 0.25 or an increased function allele with an activity value of 2 and a no function allele, predicting normal metabolizer status for CYP2D6 substrates. Use label recommended dosage."	Fluvoxamine is metabolized by CYP2D6 to less active metabolites. CYP2D6 poor metabolizers may have higher fluvoxamine exposure and be at increased risk of side effects. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127637.	Hicks_2015
Fluvoxamine	Selective serotonin reuptake inhibitor (SSRI)	CYP2D6 Intermediate Metabolizer  - Activity score 0.25 to 1	Standard dosage of fluvoxamine	STANDARD	"This result indicates that the patient carries one decreased and one no function allele or two decreased function alleles or one no function allele and one normal function allele, predicting intermediate metabolizer status for CYP2D6 substrates. Use label recommended dosage."	Fluvoxamine is metabolized by CYP2D6 to less active metabolites. CYP2D6 poor metabolizers may have higher fluvoxamine exposure and be at increased risk of side effects. (Hicks_2015) Additional information can be found at https://www.pharmgkb.org/guidelineAnnotation/PA166127637.	Hicks_2015
